,produk,brand,harga,gambar
83,boy medium calfskin quilted flap silver metallic shoulder bag,Chanel,"IDR 40,000,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/d1d86679-6546-437c-8cc4-de12a94f445b/product_list/260x260/IMG_0724-Photoroom_027-SB-163
84,lindy 34 blue saphir swift phw #x shoulder bag,Hermes,"IDR 57,500,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/1dafb0e4-9d2d-47d0-bfbe-640c37b36809/product_list/260x260/IMG_0685-Photoroom_027-HB-165
85,black handbag,Michael Kors,"IDR 1,875,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/330bcff5-6e69-43d1-a480-496356b7d398/product_list/260x260/MP-16196-HB-84-Photoroom_MP-16196-HB-84.jpg
86,lindy 26  bag,Hermes,"IDR 90,000,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/aa5c09bd-f170-4a73-ad08-bfe8c8a8ac72/product_list/260x260/MP-29724-SB-21-Photoroom_MP-29724-SB-21.jpg
87,soho disco red sling bag,Gucci,"IDR 7,950,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/c928a560-7cd3-4b93-b0b5-d9e8a1f95e77/product_list/260x260/MP-29039-CB-19-Photoroom_MP-29039-CB-19.jpg
88,deauville navy ghw #28 satchel,Chanel,"IDR 31,845,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/a5e187bb-ed10-4321-a5cf-6c14faf264b9/product_list/260x260/IMG-20250205-WA0726-Photoroom_20837-SA-724
89,gabrielle medium black & navy #25 shoulder bag,Chanel,"IDR 36,905,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/5df9e126-a9e0-49e7-a886-e00a94f8cfe0/product_list/260x260/IMG-20250205-WA0632-Photoroom_20837-SB-722
90,diorama flap small silver ghw 2017 shoulder bag,Christian Dior,"IDR 17,825,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/85eee4d4-2717-4fd2-b6a2-bf091624b985/product_list/260x260/IMG-20250205-WA0552-Photoroom_20837-SB-721
91,outdoor messenger mono blue taiga 2019 sling bag,Louis Vuitton,"IDR 16,825,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/ace03978-7999-43bb-883a-83931bdbe057/product_list/260x260/IMG-20250205-WA0501-Photoroom_20837-CB-720
92,cluny bb mono red flap 2019 handbag,Louis Vuitton,"IDR 23,045,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/f5a904c2-50ce-420e-a068-fe74f509b59e/product_list/260x260/IMG-20250205-WA0434-Photoroom_20837-HB-719
93,black caviar ghw #19 clutch,Chanel,"IDR 15,825,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/4004cf8e-daa9-4d9f-933f-5f0c0e04ba42/product_list/260x260/IMG-20250205-WA0392-Photoroom_20837-CL-718
94,puzzle small black multi 2019 satchel,Loewe,"IDR 25,245,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/6e332382-aaa9-4df1-ab52-a7db1fd30676/product_list/260x260/IMG-20250205-WA0331-Photoroom_20837-SA-717
95,sunshine medium dove grey leather shopper ghw 2022 satchel,Fendi,"IDR 20,735,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/beeb4c00-cbd6-4e0d-8454-ef817b8e4710/product_list/260x260/WhatsApp%20Image%202025-02-09%20at%2010.17.58_24938097-Photoroom_25556-SA-672
96,westminster damier mm tote bag ghw 2011 tote bag,Louis Vuitton,"IDR 10,062,500",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/10066d7c-f830-49a2-8891-28708f886da3/product_list/260x260/WhatsApp%20Image%202025-02-09%20at%2010.17.22_02bb3fe6-Photoroom_25556-TB-671
97,wave mm chain bag black ghw 2019 shoulder bag,Louis Vuitton,"IDR 25,025,000",https://tinkerlust.s3.ap-southeast-1.amazonaws.com/products/a1304b26-35be-4382-9318-928a549f0f2a/product_list/260x260/WhatsApp%20Image%202025-02-09%20at%2010.16.58_04ddbc29-Photoroom_25556-SB-670
